,LEMMA,freq,POSTAG
2165670,quanto,6809,B
2165685,quanto,6809,PR
2165686,quanto,6809,S
2165692,quanto,6809,PQ
2165737,quanto,6809,DQ
2174764,quanto,6809,CS
2184743,punto,6608,S
2185428,punto,6608,A
2185872,punto,6608,B
2193921,punto,6608,I
2199057,secolo,6605,S
2201513,caso,6566,S
2218472,figlio,6563,S
2226218,serie,6505,S
2235480,giorno,6465,S
2250986,perché,6427,CS
2251002,perché,6427,B
2251129,perché,6427,S
2271942,modo,6386,S
2285880,fine,6334,S
2285888,fine,6334,A
2296462,guerra,6275,S
2304293,oltre,5854,B
2304295,oltre,5854,E
2315285,mondo,5807,S
2315515,mondo,5807,A
2325035,casa,5707,S
2338649,però,5698,B
2338683,però,5698,CC
2341991,però,5698,S
2350995,voce,5696,S
2353943,cosa,5685,S
2353962,cosa,5685,PQ
2376677,verso,5655,E
2376696,verso,5655,S
2376697,verso,5655,A
2385939,uomo,5554,S
2397106,sotto,5462,B
2397107,sotto,5462,E
2398378,sotto,5462,S
2406259,oggi,5457,B
2406265,oggi,5457,S
2416841,lungo,5444,A
2416847,lungo,5444,E
2416860,lungo,5444,S
2416907,lungo,5444,B
2424574,invece,5303,B
2437400,circa,5303,B
2437457,circa,5303,E
2447784,usare,5268,V
2460791,tanto,4899,B
2460793,tanto,4899,DI
2460794,tanto,4899,PI
2460803,tanto,4899,S
2460808,tanto,4899,CS
2460822,tanto,4899,A
2476851,forma,4875,S
2483168,sapere,4828,V
2483206,sapere,4828,VM
2483337,sapere,4828,S
2501087,numero,4754,S
2510191,chiesa,4667,S
2512188,vero,4667,A
2512194,vero,4667,B
2512206,vero,4667,S
2516809,vero,4667,V
2524550,alto,4649,A
2524570,alto,4649,B
2529305,alto,4649,S
2532964,unico,4458,A
2532965,unico,4458,S
2533014,unico,4458,B
2541126,comune,4404,A
2541137,comune,4404,S
2546152,vario,4380,DI
2546160,vario,4380,A
2546210,vario,4380,PI
2546298,vario,4380,B
2552186,Roma,4320,SP
2559694,certo,4296,A
2559697,certo,4296,DI
2559698,certo,4296,B
2560188,certo,4296,S
2560308,certo,4296,PI
2571157,certo,4296,I
2572811,titolo,4274,S
2572833,titolo,4274,V
2575891,paese,4272,S
2583342,tipo,4177,S
2583515,tipo,4177,A
2594936,centro,4144,S
2600799,posto,4103,S
2600822,posto,4103,A
2608860,spesso,4092,B
2608868,spesso,4092,A
2615291,fatto,4055,S
2626305,causa,4019,S
2631389,lavoro,3997,S
2641232,creare,3996,V
2647033,nostro,3965,AP
2647039,nostro,3965,S
2647085,nostro,3965,PP
2647315,nostro,3965,A
2661083,meno,3948,S
2661084,meno,3948,B
2662399,meno,3948,E
2673381,base,3947,S
2681604,stato,3933,S
2691340,tale,3889,DD
2691341,tale,3889,DI
2691343,tale,3889,S
2691346,tale,3889,A
2691347,tale,3889,CS
2691544,tale,3889,B
2699069,studio,3883,S
2699250,studio,3883,SP
2702615,quasi,3874,B
2710506,morte,3867,S
2714148,mese,3852,S
2723881,grazie,3797,I
2723885,grazie,3797,S
2730005,vivere,3696,V
2735941,antico,3668,A
2736022,antico,3668,B
2737037,antico,3668,S
2738027,linea,3668,S
2745380,inizio,3585,S
2748045,inizio,3585,V
2749840,zona,3571,S
2754228,album,3571,S
2754261,album,3571,SA
2754264,album,3571,A
2754295,album,3571,PC
2754300,album,3571,DI
2754495,album,3571,RD
2754500,album,3571,E
2754645,donna,3511,S
2763122,presso,3499,E
2763132,presso,3499,B
2764066,presso,3499,S
2766402,forza,3493,S
2774623,allora,3481,B
2774655,allora,3481,CS
2782118,campo,3477,S
2787545,tema,3461,S
2791515,morire,3444,V
2795357,corso,3442,S
2795428,corso,3442,A
2800356,tenere,3436,V
2801612,tenere,3436,VA
2802027,tenere,3436,S
2807362,luogo,3377,S
2812042,stessa,3304,A
2812109,stessa,3304,S
2817712,stare,3143,V
2837653,strada,3125,S
2843972,terzo,3118,NO
2843985,terzo,3118,S
2843992,terzo,3118,A
2848563,bene,3114,S
2848565,bene,3114,B
2851802,bene,3114,A
2856357,bene,3114,I
2859282,padre,3108,S
2863359,mezzo,3104,S
2863368,mezzo,3104,A
2872028,mezzo,3104,B
2872159,acqua,3085,S
2876384,gioco,3064,S
2879993,area,3050,S
2883680,ruolo,3049,S
2887246,rete,3015,S
2893319,porre,3007,V
2897749,libro,3005,S
2899235,libro,3005,A
2903819,quest',3003,DD
2909110,amico,2988,S
2909118,amico,2988,A
2914940,legge,2923,S
2922412,genere,2912,S
2926331,grado,2874,S
2931682,epoca,2863,S
2935294,piano,2850,S
2935302,piano,2850,B
2935332,piano,2850,A
2940690,forte,2837,A
2940697,forte,2837,S
2940731,forte,2837,B
2945071,uscire,2824,V
2949717,finale,2821,A
2949732,finale,2821,S
2952886,mano,2801,S
2959000,video,2772,S
2959033,video,2772,A
2966680,corpo,2768,S
2970143,forse,2710,B
2971141,forse,2710,S
2978924,Maria,2707,SP
2980923,vicino,2699,S
2980929,vicino,2699,B
2980932,vicino,2699,A
2985007,valore,2692,S
2992060,autore,2682,S
2995927,specie,2667,S
2995931,specie,2667,B
2998974,realtà,2650,S
3005132,lingua,2647,S
3007210,ordine,2641,S
3011846,parola,2641,S
3017695,intero,2609,A
3017700,intero,2609,S
3017709,intero,2609,B
3021817,maggio,2583,S
3025380,motore,2583,S
3025478,motore,2583,A
3035573,bello,2569,A
3035577,bello,2569,S
3036473,bello,2569,B
3043605,musica,2560,S
3045738,membro,2559,S
3048632,terra,2555,S
3053413,Milano,2548,SP
3059023,scuola,2543,S
3059404,scuola,2543,A
3063212,simile,2531,A
3063219,simile,2531,S
3068640,sito,2519,S
3068661,sito,2519,A
3073446,egli,2512,PE
3074828,basso,2486,S
3074830,basso,2486,A
3074856,basso,2486,B
3079690,locale,2481,A
3079692,locale,2481,S
3083662,romano,2452,A
3083664,romano,2452,S
3083903,romano,2452,B
3085894,sede,2449,S
3088107,arte,2444,S
3091000,Stati,2438,SP
3092837,agosto,2413,S
3095877,aprire,2413,V
3100546,umano,2407,A
3100559,umano,2407,S
3100688,umano,2407,B
3103953,giugno,2391,S
3107282,luglio,2371,S
3110909,idea,2309,S
3116975,finire,2305,V
3117014,finire,2305,S
3122676,Europa,2300,SP
3125948,fuori,2292,B
3125952,fuori,2292,S
3125959,fuori,2292,E
3131846,azione,2281,S
3137443,marzo,2245,S
3140353,subito,2245,B
3140399,subito,2245,A
3145243,famoso,2240,A
3147408,senso,2237,S
3153595,aereo,2227,S
3153597,aereo,2227,A
3165360,aprile,2223,S
3168108,metà,2218,S
3170955,legare,2190,V
3174084,stile,2180,S
3176130,spazio,2178,S
3181035,troppo,2174,B
3181039,troppo,2174,DI
3181042,troppo,2174,A
3181177,troppo,2174,PI
3181344,troppo,2174,S
3188464,buono,2171,A
3188495,buono,2171,S
3193853,line,2162,S
3198951,line,2162,SW
3199015,isola,2141,S
3200825,attore,2138,S
3203675,dato,2111,S
3203681,dato,2111,A
3208979,metro,2111,S
3212723,testo,2110,S
3215229,cioè,2106,B
3219880,capo,2074,S
3222788,Uniti,2072,SP
3223371,resto,2041,S
3227845,scena,2033,S
3230565,ormai,2027,B
3234721,meglio,2018,B
3234723,meglio,2018,S
3241353,fase,2006,S
3244818,cinque,2002,N
3247308,luce,1998,S
3247541,luce,1998,A
3250163,stella,1997,S
3251687,colore,1997,S
3254388,Carlo,1995,SP
3256554,capire,1963,V
3265153,madre,1961,S
3265802,madre,1961,A
3268733,almeno,1955,B
3275542,evento,1948,S
3278338,gara,1946,S
3279933,fronte,1929,S
3283714,infine,1929,B
3287560,classe,1928,S
3291821,breve,1916,S
3291824,breve,1916,A
3294695,arma,1909,S
3301684,fonte,1908,S
3304436,fiume,1905,S
3305315,Santa,1895,SP
3305321,Santa,1895,NO
3305724,libero,1894,A
3305732,libero,1894,B
3306241,libero,1894,S
3309882,essa,1880,PE
3312552,piazza,1864,S
3312572,piazza,1864,SP
3315635,nave,1848,S
3320854,basare,1847,V
3323834,canale,1842,S
3325910,brano,1839,S
3326389,motivo,1838,S
3330067,bianco,1838,A
3330096,bianco,1838,S
3332823,futuro,1815,S
3332831,futuro,1815,A
3337346,vista,1812,S
3341171,atto,1807,S
3341177,atto,1807,A
3345546,amore,1800,S
3351733,disco,1792,S
3352712,solito,1788,A
3352713,solito,1788,S
3352727,solito,1788,B
3356769,scelta,1781,S
3360973,lato,1778,S
3362197,lato,1778,A
3363546,gran,1769,A
3363651,gran,1769,S
3366211,chiaro,1743,A
3366217,chiaro,1743,B
3366249,chiaro,1743,S
3371208,band,1731,S
3371522,testa,1730,S
3374815,moglie,1730,S
3377155,unità,1728,S
3381621,nero,1721,A
3381624,nero,1721,S
3384437,premio,1719,S
3384626,premio,1719,A
3385989,figura,1711,S
3388278,esso,1703,PE
3391344,perchè,1702,CS
3391345,perchè,1702,B
3391374,perchè,1702,S
3399591,perchè,1702,SP
3399595,perchè,1702,I
3399677,poiché,1701,CS
3401632,appena,1701,B
3404467,appena,1701,CS
3406493,nord,1689,S
3406505,nord,1689,A
3407690,mare,1687,S
3409960,giro,1686,S
3413710,club,1665,SP
3413717,club,1665,S
3414407,pieno,1661,A
3414409,pieno,1661,B
3414414,pieno,1661,S
3418253,tipico,1656,A
3418260,tipico,1656,B
3420298,euro,1655,A
3427709,euro,1655,S
3428228,popolo,1648,S
3430645,sicuro,1643,A
3430650,sicuro,1643,B
3430684,sicuro,1643,S
3435856,occhio,1627,S
3439384,valid,1625,S
3442914,valid,1625,SW
3442915,civile,1610,A
3442998,civile,1610,S
3443310,civile,1610,SP
3446055,ovvero,1608,B
3447539,ovvero,1608,CC
3450235,scopo,1608,S
3452480,totale,1586,S
3452491,totale,1586,A
3456030,essi,1584,PE
3458477,prova,1581,S
3462113,notte,1559,S
3465376,sopra,1549,E
3465377,sopra,1549,B
3468765,dunque,1549,B
3468772,dunque,1549,CS
3469110,dunque,1549,S
3472669,calcio,1547,S
3474567,onda,1545,S
3477088,quarto,1537,NO
3477126,quarto,1537,S
3477147,quarto,1537,A
3479086,reale,1526,A
3479087,reale,1526,S
3481957,John,1518,SP
3484286,teoria,1516,S
3486035,Paolo,1512,SP
3486432,ampio,1507,A
3486438,ampio,1507,B
3488639,minuto,1499,S
3488657,minuto,1499,A
3488900,minuto,1499,B
3492533,fondo,1497,S
3492727,fondo,1497,A
3496285,Napoli,1488,SP
3497742,fisico,1488,A
3497745,fisico,1488,B
3497750,fisico,1488,S
3499787,guida,1487,S
3504233,medio,1462,A
3504281,medio,1462,B
3504350,medio,1462,S
3507126,porta,1455,S
3507167,porta,1455,A
3511199,medico,1450,S
3511200,medico,1450,A
3513404,oppure,1443,CC
3517193,citare,1439,V
3519034,rosso,1439,A
3519037,rosso,1439,S
3521346,minore,1433,S
3521347,minore,1433,A
3523623,nulla,1426,PI
3523924,nulla,1426,B
3524241,nulla,1426,S
3528403,dell,1421,S
3528498,dell,1421,SA
3528528,dell,1421,A
3528946,dell,1421,EA
3528947,dell,1421,SW
3530305,coppia,1394,S
3533376,Pietro,1391,SP
3534719,attivo,1386,A
3534722,attivo,1386,B
3534734,attivo,1386,S
3537110,regno,1385,S
3537655,natura,1385,S
3540001,parere,1367,V
3540003,parere,1367,S
3545631,trama,1365,S
3546281,teatro,1364,S
3547459,Torino,1360,SP
3549186,conto,1354,S
3552137,conto,1354,A
3553632,stessi,1343,A
3553662,stessi,1343,VA
3554521,stessi,1343,S
3555937,nemico,1336,S
3555956,nemico,1336,A
3558022,presto,1332,B
3558037,presto,1332,A
3560918,subire,1331,V
3562622,villa,1325,SP
3562624,villa,1325,S
3563619,difesa,1301,S
3566964,ricco,1300,A
3567129,ricco,1300,B
3568366,ricco,1300,S
3568738,doppio,1299,A
3568739,doppio,1299,S
3568742,doppio,1299,B
3570992,ambito,1298,S
3571923,ambito,1298,A
3572903,costo,1296,S
3577314,pezzo,1293,S
3579931,lotta,1288,S
3582156,pari,1287,A
3582158,pari,1287,B
3582168,pari,1287,S
3585218,colpo,1287,S
3588725,carica,1286,S
3590791,pagina,1283,S
3593671,Gran,1276,SP
3593674,Gran,1276,A
3594698,cinema,1275,S
3596127,Regno,1272,SP
3596327,pagare,1270,V
3601284,aiuto,1258,S
3603678,Marco,1247,SP
3603848,Marco,1247,VA
3605556,pilota,1242,S
3608221,estate,1238,S
3609789,cadere,1238,V
3611869,Parigi,1237,SP
3612877,York,1237,SP
3613936,pianta,1233,S
3614811,sera,1230,S
3614907,sera,1230,SP
3618030,parco,1226,S
3618031,parco,1226,SP
3618179,parco,1226,A
3619362,Stato,1218,SP
3620951,gente,1213,S
3624649,conte,1209,S
3626580,dietro,1207,B
3626582,dietro,1207,E
3626822,dietro,1207,S
3629459,media,1207,S
3631447,media,1207,SW
3631884,piede,1202,S
3634537,carta,1200,S
3637191,metodo,1200,S
3639114,passo,1197,S
3639183,passo,1197,A
3642275,nota,1195,S
3642861,nota,1195,VA
3644862,ovvio,1187,A
3644864,ovvio,1187,B
3644870,ovvio,1187,S
3649480,armato,1184,A
3649513,armato,1184,S
3651570,prezzo,1177,S
3656641,truppa,1168,S
3657699,Spagna,1167,SP
3658670,trarre,1163,V
3660382,latino,1160,A
3660397,latino,1160,S
3661274,votare,1158,V
3664676,notare,1156,V
3667688,pure,1156,B
3671484,fuoco,1155,S
3673809,grave,1155,A
3673811,grave,1155,S
3676274,aria,1147,S
3679086,unire,1146,V
3681782,limite,1146,S
3685074,Luigi,1142,SP
3685214,Serie,1140,SP
3685230,Serie,1140,S
3685788,amare,1139,V
3685815,amare,1139,VM
3689026,misura,1139,S
3691677,massa,1139,S
3694354,male,1124,B
3694356,male,1124,S
3697852,Chiesa,1123,SP
3698166,russo,1121,S
3698168,russo,1121,A
3699627,cambio,1116,S
3703102,regola,1115,S
3705843,ottimo,1113,B
3705844,ottimo,1113,A
3705845,ottimo,1113,S
3708149,cuore,1113,S
3712099,pietra,1110,S
3712990,sala,1108,S
3714080,giusto,1108,A
3714082,giusto,1108,B
3714108,giusto,1108,S
3718277,crisi,1105,S
3721171,peso,1103,S
3724870,santo,1102,A
3724874,santo,1102,S
3725881,segno,1101,S
3727914,legato,1101,A
3727922,legato,1101,S
3728173,sette,1093,N
3729420,recare,1087,V
3731130,auto,1086,S
3739285,girare,1082,V
3741285,aperto,1076,B
3741287,aperto,1076,A
3741342,aperto,1076,S
3741528,aperto,1076,DI
3743257,utente,1073,S
3745778,destra,1071,S
3747966,volo,1069,S
3750732,sole,1068,S
3750746,sole,1068,A
3754471,cura,1065,S
3756502,favore,1065,S
3758402,largo,1062,B
3758403,largo,1062,A
3758404,largo,1062,S
3760355,volume,1056,S
3761861,buon,1055,A
3764218,uscita,1048,S
3765423,uscita,1048,A
3766232,Terra,1047,SP
3766630,arrivo,1039,S
3768311,arrivo,1039,A
3768797,pace,1034,S
3770859,danno,1032,S
3772076,danno,1032,VA
3773366,Unione,1031,SP
3774800,Coppa,1027,SP
3774943,sorta,1026,S
3776836,festa,1015,S
3778834,papa,1014,S
3779766,vostro,1012,AP
3779783,vostro,1012,S
3780902,vostro,1012,PP
3783971,tali,1010,A
3784048,tali,1010,PD
3784292,tali,1010,S
3786550,Nord,1010,SP
3786552,Nord,1010,S
3786563,Nord,1010,CC
3786591,Nord,1010,PI
3786654,Nord,1010,PC
3787175,Nord,1010,T
3787308,Nord,1010,CS
3787805,dotare,1009,V
3789899,marina,1005,SP
3789900,marina,1005,S
3793207,avanti,1004,B
3793212,avanti,1004,S
3793470,avanti,1004,A
3796212,minimo,1003,A
3796214,minimo,1003,S
3796217,minimo,1003,B
3798843,votes,38,S
3798844,votes,38,SW
3798845,Race,38,SP
3798856,Race,38,S
3798883,main,38,S
3798909,main,38,B
3798926,main,38,SW
3798931,main,38,E
3798966,Frati,38,SP
3798974,coscia,38,S
3799052,perno,38,S
3799107,Lucky,38,SP
3799123,Bravo,38,V
3799124,Bravo,38,SP
3799271,alveo,38,S
3799314,stormo,38,S
3799520,Sordi,38,SP
3799523,Sordi,38,PC
3799539,stelo,38,S
3799566,salare,38,V
3799725,Intesa,38,SP
3799749,their,38,S
3799758,their,38,SW
3799782,their,38,N
3799839,their,38,B
3799842,their,38,V
3799859,their,38,A
3799861,Pratt,38,SP
3799864,Pratt,38,PC
3799900,Guide,38,SP
3799906,Gori,38,SP
3799996,covo,38,S
3800061,bifora,38,S
3800071,were,38,S
3800094,were,38,A
3800109,were,38,SW
3800131,were,38,V
3800147,mummia,38,S
3800172,Modica,38,SP
3800181,Ming,38,SP
3800234,Call,38,SP
3800254,cacao,38,S
3800292,veline,38,A
3800339,Prime,38,SP
3800347,miss,38,SW
3800616,Irak,38,SP
3801041,Hero,38,SP
3801053,alpe,38,S
3801423,Lynn,38,SP
3801529,list,38,S
3801530,list,38,SW
3801623,tenace,38,A
3801676,Rudy,38,SP
3801729,Fleet,38,SP
3801775,gelido,38,A
3801804,gelido,38,B
3801859,Rain,38,SP
3801873,Camere,38,SP
3801925,Marano,38,SP
3801940,Yamato,38,SP
3801943,Yamato,38,A
3801981,Kenny,38,SP
3801994,Gear,38,SP
3802062,Eventi,38,SP
3802064,Prova,38,SP
3802075,Player,38,SP
3802094,Frizzi,38,SP
3802099,Dana,38,SP
3802211,Sylvia,38,SP
3802496,Parti,38,SP
3802517,Hits,38,S
3802518,Hits,38,SP
3802520,zitto,38,A
3802541,zitto,38,I
3802588,zitto,38,V
3802590,zitto,38,S
3802641,Tacito,38,SP
3802647,Pirro,38,SP
3802670,Census,38,
3802671,title,38,S
3802685,title,38,A
3802696,title,38,V
3802701,odioso,38,A
3802822,panda,38,S
3803432,Orfeo,38,SP
3803449,Manica,38,SP
3803463,DONNE,38,
3803464,Zack,38,SP
3803502,troupe,38,SW
3803550,goffo,38,A
3803551,goffo,38,B
3803672,Aversa,38,SP
3803746,Swift,38,SP
3804064,Neill,38,SP
3804098,Frost,38,SP
3804105,felino,38,A
3804106,felino,38,S
3804167,Akira,38,SP
3804172,roll,38,S
3804207,roll,38,EA
3804210,Reims,38,SP
3804211,Reims,38,S
3804217,Pesci,38,SP
3804223,molle,38,A
3804283,Irish,38,SP
3804298,viveri,38,S
3804329,tunica,38,S
3804350,Lilly,38,SP
3804704,Ethan,38,SP
3804871,ansa,38,S
3804991,Toto,37,SP
3805065,stufa,37,S
3805114,fluire,37,V
3805184,Denver,37,SP
3805197,curato,37,A
3805200,curato,37,S
3805345,linfa,37,S
3805400,labbro,37,S
3805632,Golf,37,S
3805633,Golf,37,SP
3805641,avido,37,A
3805649,avido,37,B
3805693,Alive,37,SP
3805694,Alive,37,S
3805695,Ahmed,37,SP
3805857,Savino,37,SP
3805906,pour,37,S
3805975,perito,37,S
3806018,perito,37,A
3806099,Here,37,SP
3806106,Here,37,S
3806122,Carrie,37,SP
3806180,adepto,37,A
3806245,Rand,37,SP
3806266,Police,37,SP
3806290,insito,37,A
3806387,haec,37,S
3806388,Edwin,37,SP
3806411,Brema,37,SP
3806441,profit,37,S
3806473,profit,37,V
3806479,profit,37,SW
3806549,cerca,37,S
3807383,Risale,37,SP
3807389,Risale,37,A
3807395,there,37,S
3807396,there,37,SW
3807402,there,37,V
3807444,there,37,A
3807495,Tasso,37,SP
3807503,Staff,37,SP
3807527,Rory,37,SP
3807651,Martha,37,SP
3807664,Isonzo,37,SP
3807674,Flying,37,SP
3807721,Zone,37,SP
3807741,senior,37,A
3807753,senior,37,S
3807800,pera,37,S
3808115,zucca,37,S
3808188,reggia,37,S
3808215,French,37,SP
3808222,Youth,37,SP
3808229,plagio,37,S
3808268,Oblast,37,SP
3808269,Metz,37,SP
3808273,Medina,37,SP
3808299,dazio,37,S
3808381,Cover,37,S
3808382,Cover,37,SP
3808391,Salò,37,SP
3808395,ronda,37,S
3808717,Card,37,SP
3808719,Gundam,37,SP
3808721,ghisa,37,S
3808770,Future,37,SP
3808787,Future,37,S
3808798,Dolce,37,SP
3808813,Chen,37,SP
3808848,auge,37,S
3808906,Mach,37,SP
3808953,Scuole,37,SP
3808961,Parola,37,SP
3809067,Jerome,37,SP
3809083,inferi,37,S
3809105,hangar,37,SW
3809325,Word,37,SP
3809335,Word,37,VA
3809347,Word,37,S
3809381,osceno,37,A
3809433,osceno,37,B
3809468,Lupi,37,SP
3809470,Liegi,37,SP
3809483,Odino,37,SP
3809487,mulo,37,S
3809555,Hope,37,SP
3809627,filius,37,S
3809640,Strega,37,SP
3809692,Coro,37,SP
3809700,Brenta,37,SP
3809701,beare,37,V
3809888,agonia,37,S
3809950,plebe,37,S
3809995,Nuoro,37,SP
3810027,Hiro,37,SP
3810071,balia,37,S
3810145,Want,37,S
3810146,Want,37,SP
3810156,Tales,37,SP
3810157,Civica,37,SP
3810160,Volpe,37,SP
3810170,Store,37,SP
3810180,Store,37,V
3810183,Store,37,S
3810223,Rupert,37,SP
3810251,Raven,37,SP
3810270,Jeanne,37,SP
3810384,Coni,37,SP
3810404,Valois,37,SP
3810407,Singer,37,SP
3810680,Flora,37,SP
3810681,Gregor,37,SP
3811142,Blade,37,SP
3811163,Willy,36,SP
3811210,Pooh,36,SP
3811229,Onda,36,SP
3811255,Nine,36,SP
3811395,losco,36,A
3811507,podere,36,S
3811573,Noah,36,SP
3811703,Tonino,36,SP
3811707,Price,36,SP
3811776,capro,36,S
3811981,Velvet,36,SP
3811992,psiche,36,S
3812025,Kings,36,SP
3812037,baffo,36,S
3812105,Pride,36,S
3812106,Pride,36,V
3812107,Pride,36,SP
3812164,Pride,36,CS
3812183,Dion,36,SP
3812191,bacca,36,S
3812239,ardito,36,A
3812283,Anima,36,SP
3812287,vivaio,36,S
3812336,Slesia,36,SP
3812344,Cruise,36,SP
3812461,ludico,36,A
3812521,About,36,SP
3812527,About,36,S
3812550,soft,36,A
3812624,player,36,S
3812703,player,36,A
3812709,vacca,36,S
3812807,cubico,36,A
3812853,chat,36,S
3812932,chat,36,SW
3812960,Walsh,36,SP
3813232,Ulster,36,SP
3813236,Sangro,36,SP
3813245,ordire,36,V
3813276,Lionel,36,SP
3813289,Argo,36,SP
3813306,tenue,36,A
3813308,tenue,36,S
3813355,Saturn,36,SP
3813373,Saturn,36,S
3813382,lady,36,SW
3813504,Edison,36,SP
3813537,comics,36,S
3813550,comics,36,SW
3813556,Torah,36,SP
3813560,Torah,36,I
3813564,Osaka,36,SP
3813575,forare,36,V
3813635,dicit,36,
3813636,Walk,36,SP
3813645,Eulero,36,SP
3813670,Robbie,36,SP
3813675,Ovidio,36,SP
3813697,which,36,S
3813704,which,36,N
3813710,which,36,A
3813714,which,36,SW
3813767,which,36,SA
3813809,which,36,I
3813816,Penn,36,SP
3813910,Cadore,36,SP
3813916,Total,36,SP
3813927,Total,36,I
3813944,Total,36,S
3813952,scoop,36,SW
3814025,jeans,36,SW
3814121,jeans,36,S
3814124,annali,36,S
3814143,Andrej,36,SP
3814398,aletta,36,S
3814669,range,36,S
3814723,range,36,A
3814729,range,36,V
3814785,Kris,36,SP
3815159,homo,36,S
3815198,Gomez,36,SP
3815364,Gomez,36,S
3815379,Duran,36,SP
3815384,Calvin,36,SP
3815398,ardere,36,V
3815399,ardere,36,S
3815450,Marion,36,SP
3815460,Gaia,36,SP
3815478,Doyle,36,SP
3815572,Celti,36,SP
3815575,Celti,36,PI
3815578,Python,36,SP
3815739,obice,36,S
3815966,Leeds,36,SP
3815974,Jurman,36,
3815975,Dirk,36,SP
3816340,Berti,36,SP
3816380,agrume,36,S
3816412,tuum,35,
3816413,tuffo,35,S
3816489,suum,35,
3816490,Maicol,35,SP
3816493,long,35,S
3816509,long,35,SA
3816531,long,35,SW
3816570,Grotte,35,SP
3816572,Fredda,35,SP
3816624,Bocca,35,SP
3816631,tonno,35,S
3816746,Stern,35,SP
3816818,Sauron,35,
3816819,quark,35,S
3816860,Mecca,35,SP
3816869,dicens,35,
3816870,Uffizi,35,SP
3816872,Grassi,35,SP
3816888,Grappa,35,SP
3816889,Shin,35,SP
3816903,Lance,35,SP
3816944,Canon,35,SP
3816957,Agency,35,SP
3817004,siero,35,S
3817026,Wave,35,SP
3817054,Next,35,SP
3817071,Next,35,S
3817084,Purple,35,SP
